,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
% población en edad de trabajar ,"70,3","70,7","71,1","71,5","71,9","72,4","72,8","73,2","73,5","73,9","74,1","74,3","74,5","74,7","74,9","75,1","75,4","75,7","76,1"
Tasa Global de Participación (TGP),"63,7","63,5","64,1","64,7","66,8","68,7","67,6","66,2","65,9","66,4","66,6","64,6","63,6","60,6","60,6","60,1","59,4","58,4","59,7"
Tasa de Ocupación (TO),"57,2","57,2","57,5","57,0","58,8","60,2","58,9","58,3","57,9","58,3","58,6","56,4","54,8","48,5","51,7","52,8","52,7","51,0","52,9"
Tasa de Desocupación (TD),"10,2","10,0","10,3","11,9","12,1","12,4","12,8","12,0","12,1","12,1","12,0","12,7","13,9","20,0","14,5","12,1","11,4","12,8","11,3"
Tasa de Subocupación (TS),"9,3","8,4","8,3","9,8","8,9","11,6","11,9","9,5","9,3","10,1","11,0","9,9","10,4",  - ,"9,1","8,6","7,8","7,8","7,7"
,,,,,,,,,,,,,,,,,,,
Población total,1.326,1.339,1.352,1.364,1.374,1.383,1.392,1.401,1.410,1.424,1.446,1.489,1.563,1.619,1.642,1.651,1.659,1.666,1.674
Población en edad de trabajar (PET),932,947,961,975,988,1.001,1.013,1.025,1.036,1.052,1.072,1.107,1.164,1.208,1.230,1.241,1.251,1.262,1.273
Fuerza de trabajo  ,593,601,616,631,661,687,685,679,683,698,714,715,740,733,745,746,743,737,760
Población ocupada,533,541,552,556,581,602,597,598,600,614,628,624,637,586,636,656,659,643,673
Población desocupada,61,60,64,75,80,85,88,81,83,85,85,91,103,147,108,91,85,95,86
Población fuera de la fuerza de trabajo,339,345,345,344,328,314,329,346,354,354,358,392,424,476,485,494,507,524,513
Población subocupada,55,50,51,62,59,80,82,65,64,71,78,71,77,  - ,68,64,58,57,59
Fuerza de trabajo potencial,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,56,38,54,54,58